Feature,Importance
ever_hospitalized,0.46712442263601406
age_categories,0.17315865563941096
bmi_cat,0.10703784815159592
sex,0.08084759181205245
history_hypertension,0.04357850611870324
history_diabetes,0.03726130545623275
exposure_risk,0.02759727139539921
anemia_confirmed,0.02134061732083791
history_cardiac,0.014827001712749829
smoke,0.00958692824627074
uncontrolled_diabetes,0.0075144439002469005
history_pulmonary,0.0046479142747901945
history_asthma,0.003090461767492276
history_hiv,0.0023870315682036065
