Feature,Importance
ever_hospitalized,0.4751110752903542
age_categories,0.15920614832343435
bmi_cat,0.10971532434791971
sex,0.09983432433599379
history_hypertension,0.03663983133791554
history_diabetes,0.035226706240224226
anemia_confirmed,0.021814930516293577
exposure_risk,0.020911847379957223
history_cardiac,0.015052201344838183
smoke,0.011740098165937567
uncontrolled_diabetes,0.006415388021747398
history_pulmonary,0.004557457134029663
history_asthma,0.0026142160234440153
history_hiv,0.0011604515379103728
