Feature,Importance
ever_hospitalized,0.4837598632407949
age_categories,0.13538380073869669
bmi_cat,0.11255649929709696
sex,0.10155317058167966
history_hypertension,0.04685022259245414
history_diabetes,0.034603879231877875
anemia_confirmed,0.022018712039236412
exposure_risk,0.021567824395835666
history_cardiac,0.013758114431601926
smoke,0.011625118908400438
uncontrolled_diabetes,0.007378243321627782
history_pulmonary,0.004927036006869779
history_asthma,0.0027843518352803458
history_hiv,0.0012331633785474861
